node_id,x_coord,y_coord,production,attraction,zone_id,geometry,_zone_id,activity_type
0,-112.3431979,33.4931306,50.0,50.0,8550.0,POINT (-112.3431979 33.4931306),-1,secondary
1,-112.3431591,33.4926301,10.0,10.0,8550.0,POINT (-112.3431591 33.4926301),-1,residential
2,-112.3415647,33.4915135,10.0,10.0,8550.0,POINT (-112.3415647 33.4915135),-1,residential
3,-112.3417273,33.4918512,10.0,10.0,8550.0,POINT (-112.3417273 33.4918512),-1,residential
4,-112.3417645,33.4918986,10.0,10.0,8550.0,POINT (-112.3417645 33.4918986),-1,residential
5,-112.342319,33.4923946,10.0,10.0,8550.0,POINT (-112.342319 33.4923946),-1,residential
6,-112.3425023,33.4924771,10.0,10.0,8550.0,POINT (-112.3425023 33.4924771),-1,residential
7,-112.3430329,33.4926213,10.0,10.0,8550.0,POINT (-112.3430329 33.4926213),-1,residential
8,-112.3442708,33.4924733,10.0,10.0,8547.0,POINT (-112.3442708 33.4924733),-1,residential
9,-112.3172959,33.4614156,50.0,50.0,17.0,POINT (-112.3172959 33.4614156),-1,service
10,-112.3152497,33.461383,10.0,10.0,6181.0,POINT (-112.3152497 33.461383),-1,residential
11,-112.3152544,33.4606646,10.0,10.0,10276.0,POINT (-112.3152544 33.4606646),-1,residential
12,-112.3173486,33.4606931,50.0,50.0,10276.0,POINT (-112.3173486 33.4606931),-1,service
13,-112.3152522,33.4610129,10.0,10.0,6181.0,POINT (-112.3152522 33.4610129),-1,residential
14,-112.317323,33.461044,50.0,50.0,17.0,POINT (-112.317323 33.461044),-1,service
15,-112.3159226,33.4639529,50.0,50.0,10552.0,POINT (-112.3159226 33.4639529),-1,service
16,-112.3163211,33.4633535,50.0,50.0,17.0,POINT (-112.3163211 33.4633535),-1,service
18,-112.3152471,33.4617819,10.0,10.0,6181.0,POINT (-112.3152471 33.4617819),-1,residential
19,-112.3172529,33.4617819,50.0,50.0,17.0,POINT (-112.3172529 33.4617819),-1,service
20,-112.3162917,33.4638169,50.0,50.0,17.0,POINT (-112.3162917 33.4638169),-1,service
21,-112.3168139,33.4638232,50.0,50.0,17.0,POINT (-112.3168139 33.4638232),-1,service
22,-112.3171584,33.4638196,50.0,50.0,17.0,POINT (-112.3171584 33.4638196),-1,service
23,-112.3052262,33.483719,10.0,10.0,3578.0,POINT (-112.3052262 33.483719),-1,residential
24,-112.3041639,33.4843294,10.0,10.0,3578.0,POINT (-112.3041639 33.4843294),-1,residential
25,-112.3037024,33.4846024,10.0,10.0,3578.0,POINT (-112.3037024 33.4846024),-1,residential
26,-112.3030361,33.4852029,10.0,10.0,3578.0,POINT (-112.3030361 33.4852029),-1,residential
27,-112.3168625,33.4622205,50.0,50.0,17.0,POINT (-112.3168625 33.4622205),-1,service
28,-112.3165019,33.4626514,50.0,50.0,17.0,POINT (-112.3165019 33.4626514),-1,service
29,-112.3152987,33.4635678,10.0,10.0,10552.0,POINT (-112.3152987 33.4635678),-1,residential
30,-112.3152718,33.4627025,10.0,10.0,6181.0,POINT (-112.3152718 33.4627025),-1,residential
31,-112.3152596,33.4622127,10.0,10.0,6181.0,POINT (-112.3152596 33.4622127),-1,residential
32,-112.3172453,33.4622224,50.0,50.0,17.0,POINT (-112.3172453 33.4622224),-1,service
33,-112.330677,33.4779551,10.0,10.0,8072.0,POINT (-112.330677 33.4779551),-1,residential
34,-112.3307186,33.4781074,10.0,10.0,8072.0,POINT (-112.3307186 33.4781074),-1,residential
37,-112.307094,33.4879014,10.0,10.0,8937.0,POINT (-112.307094 33.4879014),-1,residential
38,-112.3070964,33.4885501,10.0,10.0,8937.0,POINT (-112.3070964 33.4885501),-1,residential
39,-112.307281,33.4892789,10.0,10.0,8937.0,POINT (-112.307281 33.4892789),-1,residential
40,-112.3072849,33.4907267,10.0,10.0,5634.0,POINT (-112.3072849 33.4907267),-1,residential
41,-112.307289,33.4914511,10.0,10.0,5634.0,POINT (-112.307289 33.4914511),-1,residential
42,-112.3081133,33.4822256,10.0,10.0,5332.0,POINT (-112.3081133 33.4822256),-1,residential
43,-112.308101,33.4815435,10.0,10.0,3578.0,POINT (-112.308101 33.4815435),-1,residential
44,-112.3352415,33.4728138,10.0,10.0,8072.0,POINT (-112.3352415 33.4728138),-1,residential
45,-112.3352331,33.4735797,10.0,10.0,8072.0,POINT (-112.3352331 33.4735797),-1,residential
46,-112.33519,33.4739092,10.0,10.0,8072.0,POINT (-112.33519 33.4739092),-1,residential
47,-112.3358424,33.4695547,10.0,10.0,8072.0,POINT (-112.3358424 33.4695547),-1,residential
48,-112.3360966,33.469238,10.0,10.0,5314.0,POINT (-112.3360966 33.469238),-1,residential
49,-112.3361587,33.4675273,10.0,10.0,5314.0,POINT (-112.3361587 33.4675273),-1,residential
50,-112.336156,33.4670344,50.0,50.0,5314.0,POINT (-112.336156 33.4670344),-1,tertiary
51,-112.335537,33.4761355,10.0,10.0,8072.0,POINT (-112.335537 33.4761355),-1,residential
52,-112.3354789,33.4754975,10.0,10.0,8072.0,POINT (-112.3354789 33.4754975),-1,residential
53,-112.3356758,33.4777619,10.0,10.0,8072.0,POINT (-112.3356758 33.4777619),-1,residential
54,-112.3358594,33.4781082,10.0,10.0,8072.0,POINT (-112.3358594 33.4781082),-1,residential
55,-112.3158623,33.4658152,10.0,10.0,10551.0,POINT (-112.3158623 33.4658152),-1,residential
56,-112.3177669,33.4658421,10.0,10.0,10551.0,POINT (-112.3177669 33.4658421),-1,residential
