node_id,x_coord,y_coord,production,attraction,zone_id,geometry,_zone_id,activity_type
0,-96.7353652,43.5003409,50.0,50.0,21,POINT (-96.7353652 43.5003409),-1,secondary
1,-96.7353079,43.4997261,10.0,10.0,21,POINT (-96.7353079 43.4997261),-1,residential
2,-96.7347726,43.4989109,10.0,10.0,21,POINT (-96.7347726 43.4989109),-1,residential
3,-96.7337656,43.4982298,10.0,10.0,21,POINT (-96.7337656 43.4982298),-1,residential
4,-96.7310107,43.497268,10.0,10.0,21,POINT (-96.7310107 43.497268),-1,residential
5,-96.7303978,43.497046,10.0,10.0,21,POINT (-96.7303978 43.497046),-1,residential
6,-96.7908254,43.5002771,50.0,50.0,13,POINT (-96.7908254 43.5002771),-1,secondary
7,-96.7920143,43.4971045,10.0,10.0,13,POINT (-96.7920143 43.4971045),-1,residential
8,-96.7924701,43.4963865,10.0,10.0,13,POINT (-96.7924701 43.4963865),-1,residential
9,-96.7930111,43.4955939,10.0,10.0,13,POINT (-96.7930111 43.4955939),-1,residential
10,-96.79383,43.4947198,10.0,10.0,13,POINT (-96.79383 43.4947198),-1,residential
11,-96.7942449,43.4942544,10.0,10.0,13,POINT (-96.7942449 43.4942544),1114,residential
12,-96.8105676,43.4959609,10.0,10.0,13,POINT (-96.8105676 43.4959609),-1,residential
13,-96.8107678,43.4932879,10.0,10.0,13,POINT (-96.8107678 43.4932879),-1,residential
14,-96.8096852,43.4906113,10.0,10.0,13,POINT (-96.8096852 43.4906113),-1,residential
15,-96.7077388,43.4926295,50.0,50.0,20,POINT (-96.7077388 43.4926295),-1,secondary
16,-96.7036406,43.4926055,10.0,10.0,20,POINT (-96.7036406 43.4926055),-1,residential
17,-96.7418066,43.4945552,50.0,50.0,24,POINT (-96.7418066 43.4945552),-1,tertiary
18,-96.741382,43.496249,10.0,10.0,24,POINT (-96.741382 43.496249),-1,residential
19,-96.74075,43.496463,10.0,10.0,24,POINT (-96.74075 43.496463),-1,residential
20,-96.739373,43.496857,10.0,10.0,24,POINT (-96.739373 43.496857),-1,residential
21,-96.740333,43.495297,10.0,10.0,24,POINT (-96.740333 43.495297),1114,residential
22,-96.8118985,43.4915412,10.0,10.0,13,POINT (-96.8118985 43.4915412),-1,residential
23,-96.814538,43.491544,10.0,10.0,13,POINT (-96.814538 43.491544),-1,residential
