node_id,x_coord,y_coord,production,attraction,zone_id,geometry,_zone_id,activity_type
0,-110.8577129,32.1145247,50.0,50.0,257,POINT (-110.8577129 32.1145247),-1,motorway
1,-110.8582601,32.1148621,50.0,50.0,257,POINT (-110.8582601 32.1148621),-1,motorway
2,-110.8651149,32.119139,50.0,50.0,280,POINT (-110.8651149 32.119139),-1,motorway
3,-110.8692821,32.1217572,50.0,50.0,311,POINT (-110.8692821 32.1217572),-1,motorway
4,-110.874917,32.1252939,50.0,50.0,311,POINT (-110.874917 32.1252939),-1,motorway
5,-110.8754767,32.1256317,50.0,50.0,311,POINT (-110.8754767 32.1256317),-1,motorway
6,-110.8801518,32.1285695,50.0,50.0,315,POINT (-110.8801518 32.1285695),-1,motorway
7,-110.8806874,32.1289003,50.0,50.0,315,POINT (-110.8806874 32.1289003),-1,motorway
8,-110.887284,32.1341622,50.0,50.0,981,POINT (-110.887284 32.1341622),-1,motorway
9,-110.8875262,32.1345304,50.0,50.0,981,POINT (-110.8875262 32.1345304),-1,motorway
10,-110.9096537,32.1575157,50.0,50.0,381,POINT (-110.9096537 32.1575157),-1,motorway
11,-110.9089884,32.1571314,50.0,50.0,381,POINT (-110.9089884 32.1571314),-1,motorway
12,-110.9158656,32.1609985,50.0,50.0,1029,POINT (-110.9158656 32.1609985),-1,motorway
13,-110.9179092,32.1621504,50.0,50.0,1030,POINT (-110.9179092 32.1621504),-1,motorway
14,-110.9174518,32.1618908,50.0,50.0,1030,POINT (-110.9174518 32.1618908),-1,motorway
15,-110.9173155,32.1618103,50.0,50.0,1030,POINT (-110.9173155 32.1618103),-1,motorway
16,-110.9204199,32.1635623,50.0,50.0,1030,POINT (-110.9204199 32.1635623),-1,motorway
17,-110.9201174,32.1633931,50.0,50.0,1030,POINT (-110.9201174 32.1633931),-1,motorway
18,-110.9265558,32.1670139,50.0,50.0,393,POINT (-110.9265558 32.1670139),-1,motorway
19,-110.9261301,32.1667749,50.0,50.0,393,POINT (-110.9261301 32.1667749),-1,motorway
20,-110.9617505,32.1853513,50.0,50.0,511,POINT (-110.9617505 32.1853513),-1,motorway
21,-110.9611676,32.1852037,50.0,50.0,511,POINT (-110.9611676 32.1852037),-1,motorway
22,-110.9791723,32.1993026,50.0,50.0,542,POINT (-110.9791723 32.1993026),-1,motorway
23,-110.9759721,32.1921308,50.0,50.0,522,POINT (-110.9759721 32.1921308),-1,motorway
24,-110.97927,32.1997193,50.0,50.0,542,POINT (-110.97927 32.1997193),-1,motorway
25,-111.2165499,32.3426218,50.0,50.0,891,POINT (-111.2165499 32.3426218),-1,secondary
26,-111.21815,32.3278201,50.0,50.0,891,POINT (-111.21815 32.3278201),-1,secondary
27,-111.2181432,32.3270823,50.0,50.0,891,POINT (-111.2181432 32.3270823),-1,secondary
28,-111.0242795,32.2882989,50.0,50.0,638,POINT (-111.0242795 32.2882989),-1,motorway
29,-111.0260342,32.2907378,50.0,50.0,1067,POINT (-111.0260342 32.2907378),-1,motorway
30,-110.9790012,32.2076163,50.0,50.0,27,POINT (-110.9790012 32.2076163),-1,motorway
31,-110.9792564,32.2106587,50.0,50.0,27,POINT (-110.9792564 32.2106587),-1,motorway
32,-110.986327,32.163295,50.0,50.0,572,POINT (-110.986327 32.163295),-1,secondary
33,-110.986324,32.1574759,50.0,50.0,572,POINT (-110.986324 32.1574759),-1,motorway
34,-111.1342844,32.4031924,50.0,50.0,778,POINT (-111.1342844 32.4031924),-1,motorway
35,-111.1313331,32.4006419,50.0,50.0,776,POINT (-111.1313331 32.4006419),-1,secondary
36,-111.1314142,32.4019069,1000.0,1000.0,776,POINT (-111.1314142 32.4019069),36,motorway
37,-111.1368782,32.405397,50.0,50.0,778,POINT (-111.1368782 32.405397),-1,motorway
38,-110.9446767,32.1769661,50.0,50.0,461,POINT (-110.9446767 32.1769661),-1,motorway
39,-110.945573,32.1775613,50.0,50.0,461,POINT (-110.945573 32.1775613),-1,motorway
40,-110.9859488,32.1330675,50.0,50.0,559,POINT (-110.9859488 32.1330675),-1,motorway
41,-110.9861721,32.1336857,50.0,50.0,559,POINT (-110.9861721 32.1336857),-1,motorway
42,-110.985499,32.1338879,50.0,50.0,559,POINT (-110.985499 32.1338879),-1,primary
43,-110.9681741,32.1865915,50.0,50.0,512,POINT (-110.9681741 32.1865915),-1,secondary
44,-110.9675815,32.186587,50.0,50.0,512,POINT (-110.9675815 32.186587),-1,secondary
45,-110.9859381,32.1577331,50.0,50.0,572,POINT (-110.9859381 32.1577331),-1,motorway
46,-110.9837209,32.162644,50.0,50.0,547,POINT (-110.9837209 32.162644),-1,motorway
47,-110.8705381,32.1227302,50.0,50.0,311,POINT (-110.8705381 32.1227302),-1,secondary
48,-110.9837868,32.2369398,50.0,50.0,556,POINT (-110.9837868 32.2369398),-1,motorway
49,-110.9844271,32.2386362,50.0,50.0,556,POINT (-110.9844271 32.2386362),-1,motorway
50,-110.9864127,32.2418006,50.0,50.0,556,POINT (-110.9864127 32.2418006),-1,motorway
51,-110.9850208,32.2377143,50.0,50.0,556,POINT (-110.9850208 32.2377143),-1,motorway
52,-110.904687,32.1901374,50.0,50.0,352,POINT (-110.904687 32.1901374),-1,trunk
53,-110.8994344,32.1942996,50.0,50.0,340,POINT (-110.8994344 32.1942996),-1,trunk
54,-110.871716,32.1227747,50.0,50.0,311,POINT (-110.871716 32.1227747),-1,secondary
55,-110.8689019,32.1211989,50.0,50.0,311,POINT (-110.8689019 32.1211989),-1,motorway
56,-111.0947176,32.3633703,50.0,50.0,774,POINT (-111.0947176 32.3633703),-1,motorway
57,-111.0916422,32.3599427,50.0,50.0,755,POINT (-111.0916422 32.3599427),-1,secondary
58,-110.8478942,32.1080197,50.0,50.0,257,POINT (-110.8478942 32.1080197),-1,motorway
59,-110.8441229,32.1038524,50.0,50.0,261,POINT (-110.8441229 32.1038524),-1,secondary
60,-111.0375108,32.3030534,50.0,50.0,1041,POINT (-111.0375108 32.3030534),-1,motorway
61,-111.039452,32.3063951,50.0,50.0,1041,POINT (-111.039452 32.3063951),-1,secondary
62,-110.8903372,32.139182,50.0,50.0,981,POINT (-110.8903372 32.139182),-1,motorway
63,-110.8888759,32.1344267,50.0,50.0,981,POINT (-110.8888759 32.1344267),-1,primary
64,-110.987057,32.1349304,50.0,50.0,559,POINT (-110.987057 32.1349304),-1,motorway
65,-110.9880854,32.1340988,50.0,50.0,559,POINT (-110.9880854 32.1340988),-1,primary
66,-111.0831004,32.3525903,50.0,50.0,748,POINT (-111.0831004 32.3525903),-1,motorway
67,-111.0875376,32.3578637,50.0,50.0,755,POINT (-111.0875376 32.3578637),-1,secondary
68,-110.9365815,32.1227709,50.0,50.0,495,POINT (-110.9365815 32.1227709),-1,secondary
69,-110.936798,32.1229355,50.0,50.0,495,POINT (-110.936798 32.1229355),-1,secondary
70,-110.9175572,32.1588247,50.0,50.0,1030,POINT (-110.9175572 32.1588247),-1,secondary
71,-110.9118013,32.1578235,50.0,50.0,381,POINT (-110.9118013 32.1578235),-1,motorway
72,-110.9854235,32.1718868,50.0,50.0,569,POINT (-110.9854235 32.1718868),-1,motorway
73,-110.9851936,32.1755048,50.0,50.0,569,POINT (-110.9851936 32.1755048),-1,motorway
74,-110.9849701,32.1841027,50.0,50.0,544,POINT (-110.9849701 32.1841027),-1,motorway
75,-110.9861418,32.1805257,50.0,50.0,544,POINT (-110.9861418 32.1805257),-1,motorway
76,-110.8619118,32.1173415,50.0,50.0,280,POINT (-110.8619118 32.1173415),-1,secondary
77,-110.8639682,32.1181062,50.0,50.0,280,POINT (-110.8639682 32.1181062),-1,motorway
78,-110.8627386,32.117143,50.0,50.0,280,POINT (-110.8627386 32.117143),-1,secondary
79,-110.8826718,32.1301513,50.0,50.0,315,POINT (-110.8826718 32.1301513),-1,motorway
80,-110.8840394,32.131225,50.0,50.0,315,POINT (-110.8840394 32.131225),-1,secondary
