name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,0,26099532,,-87.637135,41.931132,,,,,
,1,4334560481,,-87.638391,41.932116,,,,,
,2,4070185565,,-87.639344,41.932022,,,,,
,3,11948936195,,-87.639292,41.932670,,,,,
,4,262418818,,-87.640632,41.929249,,,,,
,5,26099537,,-87.642314,41.928689,,,,,
,6,26099542,,-87.639272,41.929685,,,,,
,7,739080112,,-87.796466,41.923590,,,,,
,8,4276150322,,-87.795606,41.923596,,,,,
,9,739080111,,-87.797062,41.923586,,,,,
,10,739080110,,-87.797690,41.923581,,,,,
,11,1369154052,,-87.798912,41.923572,,,,,
,12,1369154055,signal,-87.800751,41.923559,,,,,
,13,1438083136,signal,-87.748336,41.991401,,,,,
,14,4334157067,,-87.748337,41.990729,,,,,
,15,10240584199,,-87.748334,41.993056,,,,,
,16,261240213,,-87.748332,41.995632,,,,,
,17,4334157068,,-87.748331,41.996893,,,,,
,18,258016930,,-87.620206,41.847926,,,,,
,19,9395907053,,-87.618302,41.847955,,,,,
,20,1282296437,,-87.891612,41.977514,,,,,
,21,310321518,,-87.885962,41.977909,,,,,
,22,26683758,,-87.885972,41.978169,,,,,
,23,110992161,,-87.893829,41.979790,,,,,
,24,26703640,,-87.699724,41.934230,,,,,
,25,4334551538,,-87.698115,41.932982,,,,,
,26,26703891,,-87.661230,41.905802,,,,,
,27,4337248983,,-87.661611,41.903813,,,,,
,28,25779161,,-87.660921,41.900902,,,,,
,29,739968328,,-87.659541,41.897886,,,,,
,30,26703897,,-87.676495,41.921222,,,,,
,31,8454014149,,-87.674167,41.919907,,,,,
,32,26703423,,-87.741888,41.959775,,,,,
,33,310319149,,-87.738629,41.957894,,,,,
,34,26792886,,-87.660194,41.900116,,,,,
,35,309816381,,-87.660940,41.903121,,,,,
,36,26704171,,-87.682094,41.924754,,,,,
,37,26704172,,-87.682942,41.925235,,,,,
,38,347267029,,-87.644538,41.861936,,,,,
,39,25779203,,-87.644383,41.857773,,,,,
,40,258487701,,-87.631735,41.927967,,,,,
,41,258487313,,-87.631911,41.932367,,,,,
,42,26794507,,-87.644784,41.952961,,,,,
,43,519550469,,-87.639785,41.942452,,,,,
