node_id,x_coord,y_coord,production,attraction,zone_id,geometry,_zone_id,activity_type
0,-87.637135,41.931132,50,50,7361,POINT (-87.637135 41.931132),-1,
1,-87.638391,41.932116,50,50,56482,POINT (-87.638391 41.932116),-1,
2,-87.639344,41.932022,50,50,26132,POINT (-87.639344 41.932022),-1,
3,-87.639292,41.93267,50,50,10729,POINT (-87.639292 41.93267),-1,
4,-87.640632,41.929249,50,50,41412,POINT (-87.640632 41.929249),-1,
5,-87.642314,41.928689,50,50,50555,POINT (-87.642314 41.928689),-1,
6,-87.639272,41.929685,50,50,829,POINT (-87.639272 41.929685),-1,
7,-87.796466,41.92359,50,50,51202,POINT (-87.796466 41.92359),-1,
8,-87.795606,41.923596,50,50,33673,POINT (-87.795606 41.923596),-1,
9,-87.797062,41.923586,50,50,51202,POINT (-87.797062 41.923586),-1,
10,-87.79769,41.923581,50,50,5600,POINT (-87.79769 41.923581),-1,
11,-87.798912,41.923572,50,50,55501,POINT (-87.798912 41.923572),-1,
12,-87.800751,41.923559,50,50,56995,POINT (-87.800751 41.923559),-1,
13,-87.748336,41.991401,50,50,29503,POINT (-87.748336 41.991401),-1,
14,-87.748337,41.990729,50,50,29503,POINT (-87.748337 41.990729),-1,
15,-87.748334,41.993056,50,50,35819,POINT (-87.748334 41.993056),-1,
16,-87.748332,41.995632,50,50,35819,POINT (-87.748332 41.995632),-1,
17,-87.748331,41.996893,50,50,35819,POINT (-87.748331 41.996893),-1,
18,-87.620206,41.847926,50,50,24567,POINT (-87.620206 41.847926),-1,
19,-87.618302,41.847955,50,50,12781,POINT (-87.618302 41.847955),-1,
20,-87.891612,41.977514,50,50,56356,POINT (-87.891612 41.977514),-1,
21,-87.885962,41.977909,50,50,43380,POINT (-87.885962 41.977909),-1,
22,-87.885972,41.978169,50,50,43380,POINT (-87.885972 41.978169),-1,
23,-87.893829,41.97979,50,50,43380,POINT (-87.893829 41.97979),-1,
24,-87.699724,41.93423,50,50,8189,POINT (-87.699724 41.93423),-1,
25,-87.698115,41.932982,50,50,47990,POINT (-87.698115 41.932982),-1,
26,-87.66123,41.905802,50,50,1607,POINT (-87.66123 41.905802),-1,
27,-87.661611,41.903813,50,50,5927,POINT (-87.661611 41.903813),-1,
28,-87.660921,41.900902,50,50,55224,POINT (-87.660921 41.900902),-1,
29,-87.659541,41.897886,50,50,51583,POINT (-87.659541 41.897886),-1,
30,-87.676495,41.921222,50,50,36334,POINT (-87.676495 41.921222),-1,
31,-87.674167,41.919907,50,50,36334,POINT (-87.674167 41.919907),-1,
32,-87.741888,41.959775,50,50,27302,POINT (-87.741888 41.959775),-1,
33,-87.738629,41.957894,50,50,27302,POINT (-87.738629 41.957894),-1,
34,-87.660194,41.900116,50,50,11978,POINT (-87.660194 41.900116),-1,
35,-87.66094,41.903121,50,50,11978,POINT (-87.66094 41.903121),-1,
36,-87.682094,41.924754,50,50,16837,POINT (-87.682094 41.924754),-1,
37,-87.682942,41.925235,50,50,21723,POINT (-87.682942 41.925235),-1,
38,-87.644538,41.861936,50,50,11724,POINT (-87.644538 41.861936),-1,
39,-87.644383,41.857773,50,50,25591,POINT (-87.644383 41.857773),-1,
40,-87.631735,41.927967,50,50,24919,POINT (-87.631735 41.927967),-1,
41,-87.631911,41.932367,50,50,24919,POINT (-87.631911 41.932367),-1,
42,-87.644784,41.952961,50,50,53829,POINT (-87.644784 41.952961),-1,
43,-87.639785,41.942452,50,50,23435,POINT (-87.639785 41.942452),-1,
44,-87.644316,41.953713,50,50,49431,POINT (-87.644316 41.953713),-1,
45,-87.644162,41.954667,50,50,6224,POINT (-87.644162 41.954667),-1,
46,-87.672503,41.965197,50,50,39130,POINT (-87.672503 41.965197),-1,
47,-87.672548,41.967013,50,50,39130,POINT (-87.672548 41.967013),-1,
48,-87.672594,41.968842,50,50,12943,POINT (-87.672594 41.968842),-1,
49,-87.672411,41.961547,50,50,30219,POINT (-87.672411 41.961547),-1,
50,-87.672457,41.963372,50,50,28567,POINT (-87.672457 41.963372),-1,
51,-87.670845,41.96157,50,50,17845,POINT (-87.670845 41.96157),-1,
52,-87.670887,41.963394,50,50,28832,POINT (-87.670887 41.963394),-1,
53,-87.674457,41.961409,50,50,14236,POINT (-87.674457 41.961409),-1,
54,-87.67436,41.957955,50,50,14236,POINT (-87.67436 41.957955),-1,
55,-87.83568,41.944786,50,50,23248,POINT (-87.83568 41.944786),-1,
56,-87.835218,41.9448,50,50,23248,POINT (-87.835218 41.9448),-1,
57,-87.835087,41.944803,50,50,1523,POINT (-87.835087 41.944803),-1,
58,-87.833948,41.944832,50,50,51692,POINT (-87.833948 41.944832),-1,
59,-87.832739,41.944866,50,50,51692,POINT (-87.832739 41.944866),-1,
60,-87.831516,41.9449,50,50,27416,POINT (-87.831516 41.9449),-1,
61,-87.631182,41.894036,50,50,53898,POINT (-87.631182 41.894036),-1,
62,-87.631163,41.893233,50,50,23762,POINT (-87.631163 41.893233),-1,
63,-87.62438,41.87701,50,50,33896,POINT (-87.62438 41.87701),-1,
64,-87.626066,41.876978,50,50,54568,POINT (-87.626066 41.876978),-1,
65,-87.629257,41.876904,50,50,8872,POINT (-87.629257 41.876904),-1,
66,-87.629742,41.876898,50,50,1354,POINT (-87.629742 41.876898),-1,
67,-87.630743,41.876886,50,50,1354,POINT (-87.630743 41.876886),-1,
68,-87.626939,41.878244,50,50,53472,POINT (-87.626939 41.878244),-1,
69,-87.626099,41.878262,50,50,53851,POINT (-87.626099 41.878262),-1,
70,-87.654568,41.877828,50,50,3483,POINT (-87.654568 41.877828),-1,
71,-87.652291,41.877864,50,50,30502,POINT (-87.652291 41.877864),-1,
72,-87.63959,41.878055,50,50,30703,POINT (-87.63959 41.878055),-1,
73,-87.638244,41.878069,50,50,52736,POINT (-87.638244 41.878069),-1,
74,-87.619261,41.900095,50,50,49345,POINT (-87.619261 41.900095),-1,
75,-87.620252,41.900076,50,50,49345,POINT (-87.620252 41.900076),-1,
76,-87.621903,41.900045,50,50,49345,POINT (-87.621903 41.900045),-1,
77,-87.621834,41.896766,50,50,45648,POINT (-87.621834 41.896766),-1,
78,-87.621852,41.897618,50,50,43648,POINT (-87.621852 41.897618),-1,
79,-87.620216,41.898442,50,50,41151,POINT (-87.620216 41.898442),-1,
80,-87.620228,41.899272,50,50,17759,POINT (-87.620228 41.899272),-1,
81,-87.672179,41.895991,50,50,4492,POINT (-87.672179 41.895991),-1,
82,-87.670961,41.896011,50,50,29336,POINT (-87.670961 41.896011),-1,
83,-87.669738,41.896031,50,50,29336,POINT (-87.669738 41.896031),-1,
84,-87.62429,41.879559,50,50,45188,POINT (-87.62429 41.879559),-1,
85,-87.624444,41.879556,50,50,8240,POINT (-87.624444 41.879556),-1,
86,-87.624508,41.882115,50,50,38453,POINT (-87.624508 41.882115),-1,
87,-87.625344,41.882091,50,50,54480,POINT (-87.625344 41.882091),-1,
88,-87.742995,41.817263,50,50,22406,POINT (-87.742995 41.817263),-1,
89,-87.738868,41.818341,50,50,22406,POINT (-87.738868 41.818341),-1,
90,-87.743814,41.817002,50,50,5525,POINT (-87.743814 41.817002),-1,
91,-87.743002,41.817547,50,50,37353,POINT (-87.743002 41.817547),-1,
92,-87.743824,41.817296,50,50,12432,POINT (-87.743824 41.817296),-1,
93,-87.631289,41.778979,50,50,55974,POINT (-87.631289 41.778979),-1,
94,-87.628412,41.775676,50,50,42397,POINT (-87.628412 41.775676),-1,
95,-87.614728,41.853242,50,50,39628,POINT (-87.614728 41.853242),-1,
96,-87.613551,41.850137,50,50,38110,POINT (-87.613551 41.850137),-1,
97,-87.628314,41.882005,50,50,21900,POINT (-87.628314 41.882005),-1,
98,-87.628577,41.881998,50,50,16328,POINT (-87.628577 41.881998),-1,
99,-87.635274,41.879369,50,50,11564,POINT (-87.635274 41.879369),-1,
100,-87.636723,41.879359,50,50,1929,POINT (-87.636723 41.879359),-1,
101,-87.616851,41.847976,50,50,41907,POINT (-87.616851 41.847976),-1,
102,-87.61216,41.849538,50,50,29697,POINT (-87.61216 41.849538),-1,
103,-87.63105,41.714977,50,50,32346,POINT (-87.63105 41.714977),-1,
104,-87.636193,41.714895,50,50,26010,POINT (-87.636193 41.714895),-1,
105,-87.628348,41.902414,50,50,36873,POINT (-87.628348 41.902414),-1,
106,-87.62834,41.902373,50,50,39838,POINT (-87.62834 41.902373),-1,
107,-87.631529,41.842238,50,50,7072,POINT (-87.631529 41.842238),-1,
108,-87.631511,41.841797,50,50,7072,POINT (-87.631511 41.841797),-1,
109,-87.631229,41.809163,50,50,16617,POINT (-87.631229 41.809163),-1,
110,-87.630547,41.810364,50,50,52432,POINT (-87.630547 41.810364),-1,
111,-87.88811,41.976603,50,50,56356,POINT (-87.88811 41.976603),-1,
112,-87.881656,41.984751,50,50,56356,POINT (-87.881656 41.984751),-1,
113,-87.884529,41.984804,50,50,56356,POINT (-87.884529 41.984804),-1,
114,-87.884613,41.994992,50,50,56356,POINT (-87.884613 41.994992),-1,
115,-87.88546,41.994991,50,50,56356,POINT (-87.88546 41.994991),-1,
116,-87.885711,41.976916,50,50,56356,POINT (-87.885711 41.976916),-1,
117,-87.883268,41.979031,50,50,20423,POINT (-87.883268 41.979031),-1,
118,-87.819447,41.983463,50,50,22979,POINT (-87.819447 41.983463),-1,
119,-87.817819,41.983163,50,50,45773,POINT (-87.817819 41.983163),-1,
120,-87.878623,41.986032,50,50,53579,POINT (-87.878623 41.986032),-1,
121,-87.878871,41.987877,50,50,53579,POINT (-87.878871 41.987877),-1,
122,-87.884644,41.998185,50,50,56356,POINT (-87.884644 41.998185),-1,
123,-87.884643,41.997588,50,50,56356,POINT (-87.884643 41.997588),-1,
124,-87.878832,41.980153,50,50,26492,POINT (-87.878832 41.980153),-1,
125,-87.878771,41.981354,50,50,19525,POINT (-87.878771 41.981354),-1,
126,-87.879094,41.980047,50,50,26492,POINT (-87.879094 41.980047),-1,
127,-87.878237,41.974393,50,50,26492,POINT (-87.878237 41.974393),-1,
128,-87.88461,41.994874,50,50,56356,POINT (-87.88461 41.994874),-1,
129,-87.88461,41.994559,50,50,56356,POINT (-87.88461 41.994559),-1,
130,-87.634652,41.845323,50,50,40956,POINT (-87.634652 41.845323),-1,
131,-87.646851,41.887383,50,50,36822,POINT (-87.646851 41.887383),-1,
132,-87.646315,41.886261,50,50,49960,POINT (-87.646315 41.886261),-1,
133,-87.644574,41.954565,50,50,53829,POINT (-87.644574 41.954565),-1,
134,-87.644596,41.954749,50,50,49040,POINT (-87.644596 41.954749),-1,
135,-87.644819,41.954748,50,50,49040,POINT (-87.644819 41.954748),-1,
136,-87.644791,41.954561,50,50,53829,POINT (-87.644791 41.954561),-1,
137,-87.632114,41.932367,50,50,34875,POINT (-87.632114 41.932367),-1,
138,-87.631859,41.927741,50,50,24919,POINT (-87.631859 41.927741),-1,
139,-87.879823,41.980468,50,50,20423,POINT (-87.879823 41.980468),-1,
140,-87.683998,41.931734,50,50,44005,POINT (-87.683998 41.931734),-1,
141,-87.684942,41.930848,50,50,44005,POINT (-87.684942 41.930848),-1,
142,-87.623299,41.87589,50,50,21740,POINT (-87.623299 41.87589),-1,
143,-87.624175,41.876967,50,50,18128,POINT (-87.624175 41.876967),-1,
144,-87.621081,41.875931,50,50,49147,POINT (-87.621081 41.875931),-1,
145,-87.622327,41.875917,50,50,49147,POINT (-87.622327 41.875917),-1,
146,-87.62232,41.875602,50,50,53320,POINT (-87.62232 41.875602),-1,
147,-87.622021,41.875606,50,50,53320,POINT (-87.622021 41.875606),-1,
148,-87.630393,41.837743,50,50,22902,POINT (-87.630393 41.837743),-1,
149,-87.630818,41.843268,50,50,29225,POINT (-87.630818 41.843268),-1,
150,-87.627146,41.857832,50,50,5535,POINT (-87.627146 41.857832),-1,
151,-87.6273,41.857829,50,50,24734,POINT (-87.6273 41.857829),-1,
152,-87.623921,41.857891,50,50,38566,POINT (-87.623921 41.857891),-1,
153,-87.625623,41.85786,50,50,18459,POINT (-87.625623 41.85786),-1,
154,-87.622162,41.849308,50,50,24057,POINT (-87.622162 41.849308),-1,
155,-87.622187,41.850249,50,50,24057,POINT (-87.622187 41.850249),-1,
156,-87.62038,41.867447,50,50,54324,POINT (-87.62038 41.867447),-1,
157,-87.620423,41.867601,50,50,31433,POINT (-87.620423 41.867601),-1,
158,-87.623666,41.847479,50,50,12781,POINT (-87.623666 41.847479),-1,
159,-87.623658,41.846102,50,50,6035,POINT (-87.623658 41.846102),-1,
