id,agent_type,o_zone_id,d_zone_id,o_zone_name,d_zone_name,o_node_id,d_node_id,path_node_seq,path_link_seq,b_generated,b_complete_trip,geometry,departure_time
1,v,1,2,,,54,72,[],[],False,False,"LINESTRING(-111.955888 33.437002,-111.949533 33.43653)",time:0729
2,v,1,2,,,54,113,[],[],False,False,"LINESTRING(-111.955888 33.437002,-111.949486 33.437884)",time:0736
3,v,1,2,,,54,114,[],[],False,False,"LINESTRING(-111.955888 33.437002,-111.949335 33.437897)",time:0716
4,v,1,2,,,54,118,[],[],False,False,"LINESTRING(-111.955888 33.437002,-111.947335 33.43842)",time:0726
5,v,1,2,,,54,289,[],[],False,False,"LINESTRING(-111.955888 33.437002,-111.947827 33.438964)",time:0725
6,v,1,2,,,78,72,[],[],False,False,"LINESTRING(-111.959806 33.437638,-111.949533 33.43653)",time:0748
7,v,1,2,,,78,113,[],[],False,False,"LINESTRING(-111.959806 33.437638,-111.949486 33.437884)",time:0704
8,v,1,2,,,78,114,[],[],False,False,"LINESTRING(-111.959806 33.437638,-111.949335 33.437897)",time:0716
9,v,1,2,,,78,118,[],[],False,False,"LINESTRING(-111.959806 33.437638,-111.947335 33.43842)",time:0739
10,v,1,2,,,78,289,[],[],False,False,"LINESTRING(-111.959806 33.437638,-111.947827 33.438964)",time:0703
11,v,1,2,,,112,72,[],[],False,False,"LINESTRING(-111.960312 33.43746,-111.949533 33.43653)",time:0733
12,v,1,2,,,112,113,[],[],False,False,"LINESTRING(-111.960312 33.43746,-111.949486 33.437884)",time:0741
13,v,1,2,,,112,114,[],[],False,False,"LINESTRING(-111.960312 33.43746,-111.949335 33.437897)",time:0734
14,v,1,2,,,112,118,[],[],False,False,"LINESTRING(-111.960312 33.43746,-111.947335 33.43842)",time:0721
15,v,1,2,,,112,289,[],[],False,False,"LINESTRING(-111.960312 33.43746,-111.947827 33.438964)",time:0723
16,v,1,3,,,54,273,[],[],False,False,"LINESTRING(-111.955888 33.437002,-111.943625 33.438119)",time:0703
17,v,1,3,,,54,713,[],[],False,False,"LINESTRING(-111.955888 33.437002,-111.942096 33.43802)",time:0723
18,v,1,3,,,78,273,[],[],False,False,"LINESTRING(-111.959806 33.437638,-111.943625 33.438119)",time:0701
19,v,1,3,,,78,713,[],[],False,False,"LINESTRING(-111.959806 33.437638,-111.942096 33.43802)",time:0755
20,v,1,3,,,112,273,[],[],False,False,"LINESTRING(-111.960312 33.43746,-111.943625 33.438119)",time:0755
21,v,1,3,,,112,713,[],[],False,False,"LINESTRING(-111.960312 33.43746,-111.942096 33.43802)",time:0724
22,v,1,5,,,54,239,[],[],False,False,"LINESTRING(-111.955888 33.437002,-111.92623 33.439089)",time:0724
23,v,1,5,,,54,715,[],[],False,False,"LINESTRING(-111.955888 33.437002,-111.92642 33.440236)",time:0731
24,v,1,5,,,78,239,[],[],False,False,"LINESTRING(-111.959806 33.437638,-111.92623 33.439089)",time:0750
25,v,1,5,,,78,715,[],[],False,False,"LINESTRING(-111.959806 33.437638,-111.92642 33.440236)",time:0725
26,v,1,5,,,112,239,[],[],False,False,"LINESTRING(-111.960312 33.43746,-111.92623 33.439089)",time:0750
27,v,1,5,,,112,715,[],[],False,False,"LINESTRING(-111.960312 33.43746,-111.92642 33.440236)",time:0719
28,v,1,8,,,54,614,[],[],False,False,"LINESTRING(-111.955888 33.437002,-111.909577 33.439805)",time:0739
