id,agent_type,o_zone_id,d_zone_id,o_zone_name,d_zone_name,o_node_id,d_node_id,path_node_seq,path_link_seq,b_generated,b_complete_trip,geometry,departure_time
1,v,1,2,,,113,713,[],[],False,False,"LINESTRING(-111.949486 33.437884,-111.942096 33.43802)",time:0717
21,v,1,22,,,72,692,[],[],False,False,"LINESTRING(-111.949533 33.43653,-111.942702 33.429106)",time:0701
32,v,1,33,,,113,656,[],[],False,False,"LINESTRING(-111.949486 33.437884,-111.939408 33.425507)",time:0731
40,v,1,41,,,114,643,[],[],False,False,"LINESTRING(-111.949335 33.437897,-111.952222 33.422519)",time:0800
43,v,1,44,,,22,19,[],[],False,False,"LINESTRING(-111.949609 33.435687,-111.934986 33.425091)",time:0749
44,v,1,45,,,114,655,[],[],False,False,"LINESTRING(-111.949335 33.437897,-111.929059 33.422413)",time:0752
46,v,1,47,,,22,646,[],[],False,False,"LINESTRING(-111.949609 33.435687,-111.917682 33.42223)",time:0717
54,v,1,55,,,72,653,[],[],False,False,"LINESTRING(-111.949533 33.43653,-111.925478 33.41958)",time:0746
73,v,1,74,,,113,651,[],[],False,False,"LINESTRING(-111.949486 33.437884,-111.934949 33.414314)",time:0730
75,v,1,76,,,22,707,[],[],False,False,"LINESTRING(-111.949609 33.435687,-111.920387 33.414944)",time:0703
84,v,1,85,,,22,686,[],[],False,False,"LINESTRING(-111.949609 33.435687,-111.926503 33.409755)",time:0745
96,v,1,97,,,22,647,[],[],False,False,"LINESTRING(-111.949609 33.435687,-111.917695 33.408003)",time:0733
112,v,2,15,,,713,674,[],[],False,False,"LINESTRING(-111.942096 33.43802,-111.92552 33.434078)",time:0724
173,v,2,76,,,713,652,[],[],False,False,"LINESTRING(-111.942096 33.43802,-111.921164 33.415513)",time:0725
174,v,2,77,,,273,644,[],[],False,False,"LINESTRING(-111.943625 33.438119,-111.917699 33.415184)",time:0718
191,v,2,94,,,273,650,[],[],False,False,"LINESTRING(-111.943625 33.438119,-111.934909 33.407991)",time:0722
194,v,2,97,,,273,204,[],[],False,False,"LINESTRING(-111.943625 33.438119,-111.917703 33.407174)",time:0800
407,v,5,22,,,147,692,[],[],False,False,"LINESTRING(-111.930031 33.436451,-111.942702 33.429106)",time:0735
429,v,5,44,,,147,19,[],[],False,False,"LINESTRING(-111.930031 33.436451,-111.934986 33.425091)",time:0710
