node_id,x_coord,y_coord,production,attraction,zone_id,geometry,_zone_id,activity_type
19,-111.934986,33.425091,1000.0,1000.0,44,POINT (-111.934986 33.425091),19,tertiary
22,-111.949609,33.435687,1000.0,1000.0,12,POINT (-111.949609 33.435687),22,tertiary
25,-111.896209,33.434993,1000.0,1000.0,20,POINT (-111.896209 33.434993),25,motorway
54,-111.955888,33.437002,1000.0,1000.0,1,POINT (-111.955888 33.437002),54,motorway
55,-111.954122,33.435922,1000.0,1000.0,11,POINT (-111.954122 33.435922),55,primary
59,-111.891525,33.439541,1000.0,1000.0,10,POINT (-111.891525 33.439541),59,motorway
61,-111.895791,33.435294,1000.0,1000.0,20,POINT (-111.895791 33.435294),61,motorway
67,-111.896237,33.43495,1000.0,1000.0,20,POINT (-111.896237 33.43495),67,motorway
69,-111.956162,33.43624,1000.0,1000.0,11,POINT (-111.956162 33.43624),69,motorway
72,-111.949533,33.43653,1000.0,1000.0,2,POINT (-111.949533 33.43653),72,tertiary
78,-111.959806,33.437638,1000.0,1000.0,1,POINT (-111.959806 33.437638),78,motorway
108,-111.893991,33.435145,1000.0,1000.0,20,POINT (-111.893991 33.435145),108,motorway
110,-111.896285,33.435195,1000.0,1000.0,20,POINT (-111.896285 33.435195),110,motorway
112,-111.960312,33.43746,1000.0,1000.0,1,POINT (-111.960312 33.43746),112,motorway
113,-111.949486,33.437884,1000.0,1000.0,2,POINT (-111.949486 33.437884),113,tertiary
114,-111.949335,33.437897,1000.0,1000.0,2,POINT (-111.949335 33.437897),114,tertiary
118,-111.947335,33.43842,1000.0,1000.0,2,POINT (-111.947335 33.43842),118,primary
119,-111.942549,33.42914,1000.0,1000.0,23,POINT (-111.942549 33.42914),119,tertiary
147,-111.930031,33.436451,1000.0,1000.0,15,POINT (-111.930031 33.436451),147,tertiary
187,-111.926299,33.404044,1000.0,1000.0,91,POINT (-111.926299 33.404044),187,primary
204,-111.917703,33.407174,1000.0,1000.0,84,POINT (-111.917703 33.407174),204,tertiary
220,-111.952374,33.4305,1000.0,1000.0,22,POINT (-111.952374 33.4305),220,tertiary
235,-111.909128,33.402985,1000.0,1000.0,94,POINT (-111.909128 33.402985),235,secondary
239,-111.92623,33.439089,1000.0,1000.0,5,POINT (-111.92623 33.439089),239,primary
273,-111.943625,33.438119,1000.0,1000.0,3,POINT (-111.943625 33.438119),273,primary
281,-111.958805,33.430547,1000.0,1000.0,21,POINT (-111.958805 33.430547),281,secondary
289,-111.947827,33.438964,1000.0,1000.0,2,POINT (-111.947827 33.438964),289,primary
443,-111.959455,33.430124,1000.0,1000.0,21,POINT (-111.959455 33.430124),443,secondary
461,-111.896206,33.414685,1000.0,1000.0,68,POINT (-111.896206 33.414685),461,primary
467,-111.894535,33.422061,1000.0,1000.0,50,POINT (-111.894535 33.422061),467,secondary
495,-111.895598,33.407427,1000.0,1000.0,87,POINT (-111.895598 33.407427),495,secondary
497,-111.895048,33.407557,1000.0,1000.0,87,POINT (-111.895048 33.407557),497,secondary
501,-111.954812,33.407403,1000.0,1000.0,78,POINT (-111.954812 33.407403),501,secondary
601,-111.928936,33.421587,1000.0,1000.0,54,POINT (-111.928936 33.421587),601,tertiary
614,-111.909577,33.439805,1000.0,1000.0,8,POINT (-111.909577 33.439805),614,primary
636,-111.934958,33.415072,1000.0,1000.0,62,POINT (-111.934958 33.415072),636,tertiary
639,-111.939787,33.405221,1000.0,1000.0,89,POINT (-111.939787 33.405221),639,secondary
640,-111.952163,33.406802,1000.0,1000.0,79,POINT (-111.952163 33.406802),640,tertiary
641,-111.952163,33.407927,1000.0,1000.0,79,POINT (-111.952163 33.407927),641,tertiary
642,-111.952216,33.421452,1000.0,1000.0,51,POINT (-111.952216 33.421452),642,tertiary
643,-111.952222,33.422519,1000.0,1000.0,42,POINT (-111.952222 33.422519),643,tertiary
644,-111.917699,33.415184,1000.0,1000.0,65,POINT (-111.917699 33.415184),644,tertiary
645,-111.917704,33.421654,1000.0,1000.0,47,POINT (-111.917704 33.421654),645,tertiary
646,-111.917682,33.42223,1000.0,1000.0,47,POINT (-111.917682 33.42223),646,tertiary
647,-111.917695,33.408003,1000.0,1000.0,84,POINT (-111.917695 33.408003),647,tertiary
648,-111.942399,33.422483,1000.0,1000.0,43,POINT (-111.942399 33.422483),648,tertiary
649,-111.934905,33.407106,1000.0,1000.0,81,POINT (-111.934905 33.407106),649,tertiary
650,-111.934909,33.407991,1000.0,1000.0,81,POINT (-111.934909 33.407991),650,tertiary
651,-111.934949,33.414314,1000.0,1000.0,62,POINT (-111.934949 33.414314),651,tertiary
652,-111.921164,33.415513,1000.0,1000.0,64,POINT (-111.921164 33.415513),652,tertiary
653,-111.925478,33.41958,1000.0,1000.0,55,POINT (-111.925478 33.41958),653,tertiary
654,-111.930575,33.415263,1000.0,1000.0,63,POINT (-111.930575 33.415263),654,tertiary
655,-111.929059,33.422413,1000.0,1000.0,45,POINT (-111.929059 33.422413),655,tertiary
656,-111.939408,33.425507,1000.0,1000.0,34,POINT (-111.939408 33.425507),656,tertiary
658,-111.895607,33.429293,1000.0,1000.0,30,POINT (-111.895607 33.429293),658,secondary
661,-111.896536,33.429406,1000.0,1000.0,30,POINT (-111.896536 33.429406),661,secondary
674,-111.92552,33.434078,1000.0,1000.0,16,POINT (-111.92552 33.434078),674,tertiary
675,-111.953602,33.42192,1000.0,1000.0,41,POINT (-111.953602 33.42192),675,primary
678,-111.896977,33.414852,1000.0,1000.0,68,POINT (-111.896977 33.414852),678,primary
686,-111.926503,33.409755,1000.0,1000.0,82,POINT (-111.926503 33.409755),686,primary
689,-111.925794,33.410127,1000.0,1000.0,83,POINT (-111.925794 33.410127),689,tertiary
692,-111.942702,33.429106,1000.0,1000.0,23,POINT (-111.942702 33.429106),692,tertiary
707,-111.920387,33.414944,1000.0,1000.0,64,POINT (-111.920387 33.414944),707,tertiary
710,-111.900495,33.421696,1000.0,1000.0,49,POINT (-111.900495 33.421696),710,tertiary
713,-111.942096,33.43802,1000.0,1000.0,3,POINT (-111.942096 33.43802),713,primary
715,-111.92642,33.440236,1000.0,1000.0,5,POINT (-111.92642 33.440236),715,primary
716,-111.925711,33.434004,1000.0,1000.0,16,POINT (-111.925711 33.434004),716,tertiary
718,-111.930664,33.415274,1000.0,1000.0,63,POINT (-111.930664 33.415274),718,tertiary
725,-111.925867,33.419704,1000.0,1000.0,55,POINT (-111.925867 33.419704),725,tertiary
0,-111.926288,33.431218,0.0,0.0,,POINT (-111.926288 33.431218),-1,primary
1,-111.926271,33.433591,0.0,0.0,,POINT (-111.926271 33.433591),-1,primary
2,-111.938944,33.415295,0.0,0.0,,POINT (-111.938944 33.415295),-1,primary
3,-111.937022,33.414608,0.0,0.0,,POINT (-111.937022 33.414608),-1,primary
5,-111.909613,33.43633,0.0,0.0,,POINT (-111.909613 33.43633),-1,secondary
7,-111.94007,33.42101,0.0,0.0,,POINT (-111.94007 33.42101),-1,primary
8,-111.936661,33.421909,0.0,0.0,,POINT (-111.936661 33.421909),-1,secondary
10,-111.940594,33.407403,0.0,0.0,,POINT (-111.940594 33.407403),-1,secondary
11,-111.943326,33.407379,0.0,0.0,,POINT (-111.943326 33.407379),-1,secondary
12,-111.934416,33.407453,0.0,0.0,,POINT (-111.934416 33.407453),-1,secondary
13,-111.934373,33.407453,0.0,0.0,,POINT (-111.934373 33.407453),-1,secondary
14,-111.917713,33.41943,0.0,0.0,,POINT (-111.917713 33.41943),-1,tertiary
15,-111.909077,33.41953,0.0,0.0,,POINT (-111.909077 33.41953),-1,secondary
16,-111.926238,33.420976,0.0,0.0,,POINT (-111.926238 33.420976),-1,primary
17,-111.940632,33.433383,0.0,0.0,,POINT (-111.940632 33.433383),-1,primary
18,-111.941674,33.435288,0.0,0.0,,POINT (-111.941674 33.435288),-1,primary
20,-111.934982,33.424333,0.0,0.0,,POINT (-111.934982 33.424333),-1,tertiary
23,-111.949622,33.435532,0.0,0.0,,POINT (-111.949622 33.435532),-1,motorway
24,-111.898457,33.435637,0.0,0.0,,POINT (-111.898457 33.435637),-1,motorway
26,-111.937415,33.430404,0.0,0.0,,POINT (-111.937415 33.430404),-1,secondary
27,-111.935676,33.430436,0.0,0.0,,POINT (-111.935676 33.430436),-1,secondary
28,-111.934928,33.430057,0.0,0.0,,POINT (-111.934928 33.430057),-1,secondary
29,-111.934672,33.429873,0.0,0.0,,POINT (-111.934672 33.429873),-1,secondary
30,-111.934362,33.435012,0.0,0.0,,POINT (-111.934362 33.435012),-1,motorway
31,-111.930784,33.435454,0.0,0.0,,POINT (-111.930784 33.435454),-1,motorway
32,-111.927075,33.43571,0.0,0.0,,POINT (-111.927075 33.43571),-1,motorway
33,-111.926454,33.43588,0.0,0.0,,POINT (-111.926454 33.43588),-1,motorway
34,-111.926352,33.436023,0.0,0.0,,POINT (-111.926352 33.436023),-1,motorway
35,-111.926159,33.435022,0.0,0.0,,POINT (-111.926159 33.435022),-1,primary
36,-111.925312,33.435556,0.0,0.0,,POINT (-111.925312 33.435556),-1,motorway
37,-111.920708,33.436327,0.0,0.0,,POINT (-111.920708 33.436327),-1,motorway
38,-111.923641,33.436485,0.0,0.0,,POINT (-111.923641 33.436485),-1,motorway
39,-111.92545,33.436515,0.0,0.0,,POINT (-111.92545 33.436515),-1,motorway
40,-111.926041,33.436346,0.0,0.0,,POINT (-111.926041 33.436346),-1,motorway
41,-111.926155,33.436233,0.0,0.0,,POINT (-111.926155 33.436233),-1,motorway
43,-111.910365,33.436622,0.0,0.0,,POINT (-111.910365 33.436622),-1,motorway
44,-111.917021,33.435913,0.0,0.0,,POINT (-111.917021 33.435913),-1,motorway
45,-111.916643,33.435787,0.0,0.0,,POINT (-111.916643 33.435787),-1,motorway
46,-111.94951,33.436815,0.0,0.0,,POINT (-111.94951 33.436815),-1,tertiary
