node_id,x_coord,y_coord,production,attraction,zone_id,geometry,_zone_id,activity_type
0,-77.0466503,38.9024051,1000.0,1000.0,12,POINT (-77.0466503 38.9024051),0,primary
1,-77.0501283,38.8957332,1000.0,1000.0,61,POINT (-77.0501283 38.8957332),1,primary
2,-77.0487386,38.8958041,1000.0,1000.0,61,POINT (-77.0487386 38.8958041),2,motorway
3,-77.046535,38.8956539,1000.0,1000.0,62,POINT (-77.046535 38.8956539),3,motorway
4,-77.0449266,38.8954286,1000.0,1000.0,62,POINT (-77.0449266 38.8954286),4,tertiary
5,-77.0494761,38.9027152,1000.0,1000.0,11,POINT (-77.0494761 38.9027152),5,primary
6,-77.027546,38.8920871,1000.0,1000.0,98,POINT (-77.027546 38.8920871),6,primary
7,-77.0486234,38.8962602,1000.0,1000.0,61,POINT (-77.0486234 38.8962602),7,secondary
8,-77.0281418,38.8920893,1000.0,1000.0,97,POINT (-77.0281418 38.8920893),8,secondary
9,-77.0506012,38.9029136,1000.0,1000.0,11,POINT (-77.0506012 38.9029136),9,primary
10,-77.0270245,38.9041663,1000.0,1000.0,8,POINT (-77.0270245 38.9041663),10,primary
11,-77.0276415,38.9041698,1000.0,1000.0,7,POINT (-77.0276415 38.9041698),11,primary
12,-77.0487416,38.8958963,1000.0,1000.0,61,POINT (-77.0487416 38.8958963),12,motorway
13,-77.0507556,38.9023635,1000.0,1000.0,11,POINT (-77.0507556 38.9023635),13,primary
14,-77.0501553,38.8924286,1000.0,1000.0,91,POINT (-77.0501553 38.8924286),14,primary
15,-77.0497531,38.9020978,1000.0,1000.0,21,POINT (-77.0497531 38.9020978),15,primary
16,-77.0466678,38.8920897,1000.0,1000.0,92,POINT (-77.0466678 38.8920897),16,tertiary
17,-77.0466778,38.8935166,1000.0,1000.0,82,POINT (-77.0466778 38.8935166),17,tertiary
18,-77.0466637,38.8952383,1000.0,1000.0,72,POINT (-77.0466637 38.8952383),18,tertiary
19,-77.0466663,38.8960156,1000.0,1000.0,62,POINT (-77.0466663 38.8960156),19,primary
20,-77.0466574,38.8995741,10.0,10.0,32,POINT (-77.0466574 38.8995741),20,residential
21,-77.0466546,38.9006944,1000.0,1000.0,32,POINT (-77.0466546 38.9006944),21,tertiary
