node_id,zone_id,ctrl_type,node_type,activity_type,x_coord,y_coord,production,attraction
0,0,1,,primary,-77.0466503,38.9024051,0,0
1,1,0,,primary,-77.0501283,38.8957332,0,0
2,2,0,,motorway,-77.0487386,38.8958041,0,0
3,3,0,,motorway,-77.046535,38.8956539,0,0
4,4,1,,tertiary,-77.0449266,38.8954286,0,0
5,5,1,,primary,-77.0494761,38.9027152,0,0
6,6,0,,primary,-77.027546,38.8920871,0,0
7,7,0,,secondary,-77.0486234,38.8962602,0,0
8,8,1,,secondary,-77.0281418,38.8920893,0,0
9,9,0,,primary,-77.0506012,38.9029136,0,0
10,10,1,,primary,-77.0270245,38.9041663,0,0
11,11,0,,primary,-77.0276415,38.9041698,0,0
12,12,0,,motorway,-77.0487416,38.8958963,0,0
13,13,0,,primary,-77.0507556,38.9023635,0,0
14,14,0,,primary,-77.0501553,38.8924286,0,0
15,15,0,,primary,-77.0497531,38.9020978,0,0
16,16,1,,tertiary,-77.0466678,38.8920897,0,0
17,17,1,,tertiary,-77.0466778,38.8935166,0,0
18,18,1,,tertiary,-77.0466637,38.8952383,0,0
19,19,1,,primary,-77.0466663,38.8960156,0,0
20,20,1,,residential,-77.0466574,38.8995741,0,0
21,21,0,,tertiary,-77.0466546,38.9006944,0,0
22,22,1,,primary,-77.04665,38.9025305,0,0
23,23,1,,tertiary,-77.046647,38.9037424,0,0
24,24,0,,secondary,-77.0319535,38.8946517,0,0
25,25,1,,secondary,-77.03195,38.8973504,0,0
26,26,1,,secondary,-77.0319506,38.8983201,0,0
27,27,1,,secondary,-77.0319504,38.8994359,0,0
28,28,1,,secondary,-77.0319505,38.900209,0,0
29,29,1,,secondary,-77.0319507,38.9013356,0,0
30,30,1,,secondary,-77.0319544,38.9025199,0,0
31,31,1,,secondary,-77.0319511,38.9037373,0,0
32,32,1,,primary,-77.0185253,38.892458,0,0
33,33,0,,primary,-77.0191525,38.8920874,0,0
34,34,1,,primary,-77.019911,38.892076,0,0
35,35,1,,secondary,-77.0219312,38.8920786,0,0
36,36,1,,primary,-77.0239597,38.8920785,0,0
37,37,1,,primary,-77.0260226,38.8920862,0,0
38,38,0,,primary,-77.0406979,38.8921004,0,0
39,39,1,,primary,-77.0434835,38.8920951,0,0
40,40,1,,tertiary,-77.0449316,38.8920926,0,0
41,41,1,,secondary,-77.047972,38.8920875,0,0
42,42,1,,tertiary,-77.0488495,38.892102,0,0
43,43,1,,secondary,-77.0379693,38.9002001,0,0
44,44,0,,primary,-77.0394724,38.8935512,0,0
45,45,1,,secondary,-77.0417542,38.8935281,0,0
46,46,1,,secondary,-77.0434792,38.8935385,0,0
