zone_id,name,x_coord,y_coord,centroid,x_max,x_min,y_max,y_min,node_id_list,poi_id_list,production,attraction,production_fixed,attraction_fixed,geometry
1,A0,-77.04978095000003,38.904357038499995,POINT (-77.04978095000003 38.904357038499995),-77.04807711000001,-77.05148479,38.90504748,38.903666597,[],[],0,0,0,0,"POLYGON ((-77.05148479 38.903666597, -77.04807711000001 38.903666597, -77.04807711000001 38.90504748, -77.05148479 38.90504748, -77.05148479 38.903666597))"
2,A1,-77.04637327,38.9043570385,POINT (-77.04637327 38.9043570385),-77.04466943,-77.04807711000001,38.90504748,38.903666597,[],[],0,0,0,0,"POLYGON ((-77.04807711000001 38.903666597, -77.04466943 38.903666597, -77.04466943 38.90504748, -77.04807711000001 38.90504748, -77.04807711000001 38.903666597))"
3,A2,-77.04296559,38.904357038499995,POINT (-77.04296559 38.904357038499995),-77.04126175,-77.04466943,38.90504748,38.903666597,[],[],0,0,0,0,"POLYGON ((-77.04466943 38.903666597, -77.04126175 38.903666597, -77.04126175 38.90504748, -77.04466943 38.90504748, -77.04466943 38.903666597))"
4,A3,-77.03955791,38.904357038499995,POINT (-77.03955791 38.904357038499995),-77.03785407000001,-77.04126175,38.90504748,38.903666597,[],[],0,0,0,0,"POLYGON ((-77.04126175 38.903666597, -77.03785407000001 38.903666597, -77.03785407000001 38.90504748, -77.04126175 38.90504748, -77.04126175 38.903666597))"
5,A4,-77.03615023,38.9043570385,POINT (-77.03615023 38.9043570385),-77.03444639,-77.03785407000001,38.90504748,38.903666597,[],[],0,0,0,0,"POLYGON ((-77.03785407000001 38.903666597, -77.03444639 38.903666597, -77.03444639 38.90504748, -77.03785407000001 38.90504748, -77.03785407000001 38.903666597))"
6,A5,-77.03274255,38.904357038499995,POINT (-77.03274255 38.904357038499995),-77.03103871,-77.03444639,38.90504748,38.903666597,[],[],0,0,0,0,"POLYGON ((-77.03444639 38.903666597, -77.03103871 38.903666597, -77.03103871 38.90504748, -77.03444639 38.90504748, -77.03444639 38.903666597))"
7,A6,-77.02933487000003,38.904357038499995,POINT (-77.02933487000003 38.904357038499995),-77.02763103000001,-77.03103871,38.90504748,38.903666597,[],[],0,0,0,0,"POLYGON ((-77.03103871 38.903666597, -77.02763103000001 38.903666597, -77.02763103000001 38.90504748, -77.03103871 38.90504748, -77.03103871 38.903666597))"
8,A7,-77.02592718999999,38.904357038499995,POINT (-77.02592718999999 38.904357038499995),-77.02422335000001,-77.02763103000001,38.90504748,38.903666597,[],[],0,0,0,0,"POLYGON ((-77.02763103000001 38.903666597, -77.02422335000001 38.903666597, -77.02422335000001 38.90504748, -77.02763103000001 38.90504748, -77.02763103000001 38.903666597))"
9,A8,-77.02251951000002,38.9043570385,POINT (-77.02251951000002 38.9043570385),-77.02081567,-77.02422335000001,38.90504748,38.903666597,[],[],0,0,0,0,"POLYGON ((-77.02422335000001 38.903666597, -77.02081567 38.903666597, -77.02081567 38.90504748, -77.02422335000001 38.90504748, -77.02422335000001 38.903666597))"
10,A9,-77.01911183,38.904357038499995,POINT (-77.01911183 38.904357038499995),-77.01740799000001,-77.02081567,38.90504748,38.903666597,[],[],0,0,0,0,"POLYGON ((-77.02081567 38.903666597, -77.01740799000001 38.903666597, -77.01740799000001 38.90504748, -77.02081567 38.90504748, -77.02081567 38.903666597))"
