node_id,x_coord,y_coord,production,attraction,zone_id,geometry,_zone_id,activity_type
0,55.1532822,25.0950016,1000.0,1000.0,94,POINT (55.1532822 25.0950016),99,unclassified
1,55.1528531,25.0952953,1000.0,1000.0,94,POINT (55.1528531 25.0952953),99,unclassified
2,55.1544206,25.0948,1000.0,1000.0,94,POINT (55.1544206 25.0948),99,unclassified
3,55.1556981,25.0962824,1000.0,1000.0,94,POINT (55.1556981 25.0962824),99,unclassified
4,55.1384896,25.1412243,1000.0,1000.0,5,POINT (55.1384896 25.1412243),6,secondary
5,55.1294833,25.1400352,1000.0,1000.0,3,POINT (55.1294833 25.1400352),4,secondary
6,55.1122593,25.1036113,1000.0,1000.0,77,POINT (55.1122593 25.1036113),80,secondary
7,55.1117817,25.1043699,1000.0,1000.0,67,POINT (55.1117817 25.1043699),70,secondary
8,55.1114824,25.1049815,1000.0,1000.0,67,POINT (55.1114824 25.1049815),70,secondary
9,55.1113945,25.1050967,1000.0,1000.0,67,POINT (55.1113945 25.1050967),70,secondary
10,55.1089437,25.1163439,1000.0,1000.0,47,POINT (55.1089437 25.1163439),50,secondary
11,55.1316452,25.120019,10.0,10.0,41,POINT (55.1316452 25.120019),44,residential
12,55.1315167,25.1199768,10.0,10.0,41,POINT (55.1315167 25.1199768),44,residential
13,55.1315013,25.1199035,10.0,10.0,41,POINT (55.1315013 25.1199035),44,residential
14,55.1315224,25.119861,10.0,10.0,41,POINT (55.1315224 25.119861),44,residential
15,55.1316089,25.1198213,10.0,10.0,41,POINT (55.1316089 25.1198213),44,residential
16,55.1316433,25.1198256,10.0,10.0,41,POINT (55.1316433 25.1198256),44,residential
17,55.1317167,25.1198884,10.0,10.0,41,POINT (55.1317167 25.1198884),44,residential
18,55.1317187,25.1199504,10.0,10.0,41,POINT (55.1317187 25.1199504),44,residential
19,55.1304446,25.120175,1000.0,1000.0,41,POINT (55.1304446 25.120175),44,secondary
20,55.1321757,25.1188668,1000.0,1000.0,41,POINT (55.1321757 25.1188668),44,secondary
